Liszt, Franz;Grosse Konzertfantasie über spanische Weisen;11980
Liszt, Franz;Grosses Konzertsolo;11981
Liszt, Franz;Heroischer Marsch in ungarischem Stil;11985
Liszt, Franz;Der Herr bewahret die Seelen seiner Heiligen;11986
Liszt, Franz;Historische ungarische Bildnisse;11988
Liszt, Franz;Hohe Liebe;11989
Liszt, Franz;Huldigungsmarsch;11990
Liszt, Franz;Hungarian Rhapsody No.1;11991
Liszt, Franz;Hungarian Rhapsody No.2;11992
Liszt, Franz;Hungarian Rhapsody No.3;11993
Liszt, Franz;Hungarian Rhapsody No.4;11994
Liszt, Franz;Hungarian Rhapsody No.5;11995
Liszt, Franz;Hungarian Rhapsody No.6;11996
Liszt, Franz;Hungarian Rhapsody No.7;11997
Liszt, Franz;Hungarian Rhapsody No.8;11998
Liszt, Franz;Hungarian Rhapsody No.9;11999
Liszt, Franz;Hungarian Rhapsody No.10;12000
Liszt, Franz;Hungarian Rhapsody No.11;12001
Liszt, Franz;Hungarian Rhapsody No.12;12002
Liszt, Franz;Hungarian Rhapsody No.13;12003
Liszt, Franz;Hungarian Rhapsody No.14 ;12004
Liszt, Franz;Hungarian Rhapsody No.15;12005
Liszt, Franz;Hungarian Rhapsody No.16;12007
Liszt, Franz;Hungarian Rhapsody No.17;12008
Liszt, Franz;Hungarian Rhapsody No.18;12009
Liszt, Franz;Hungarian Rhapsody No.19;12010
Liszt, Franz;Hymne de l'enfant à son réveil;12011
Liszt, Franz;Ich liebe dich;12013
Liszt, Franz;Ich scheide;12014
Liszt, Franz;Ihr Glocken von Marling;12015
Liszt, Franz;Illustrations du Prophète de Giacomo Meyerbeer;12017
Liszt, Franz;Im Rhein, im schönen Strome;12018
Liszt, Franz;Impromptu brillant sur des thèmes de Rossini et Spontini;12019
Liszt, Franz;Impromptu;12020
Liszt, Franz;In festo transfigurationis Domini nostri Jesu Christi;12021
Liszt, Franz;In domum Domino imibus, S.57;12022
Liszt, Franz;Inno a Maria Vergine;12023
Liszt, Franz;Invocation [early version of S173/1];12024
Liszt, Franz;Jeanne d'Arc au bûcher;12026
Liszt, Franz;Jugendglück;12027
Liszt, Franz;2 Kirchenhymnen;12028
Liszt, Franz;Klavierstück No.2;12029
Liszt, Franz;Klavierstück aus der Bonn Beethoven-Cantata;12030
Liszt, Franz;Klavierstück;12031
Liszt, Franz;Fünf Klavierstücke;12032
Liszt, Franz;Kling leise, mein Lied;12033
Liszt, Franz;2 Konzertetüden;12034
Liszt, Franz;Künstlerfestzug zur Schillerfeier, S.114;12035
Liszt, Franz;Die Legende von der Heiligen Elisabeth;12037
Liszt, Franz;2 Légendes;12038
Liszt, Franz;Liebesträume;12039
Liszt, Franz;3 Lieder aus Schillers ''Wilhelm Tell '';12040
Liszt, Franz;12 Lieder von Franz Schubert;12041
Liszt, Franz;Sechs Lieder von Goethe (Beethoven);12042
Liszt, Franz;Die Lorelei (Heine);12044
Liszt, Franz;Die Lorelei (Heine) [second version of S531/1];12045
Liszt, Franz;Löse, Himmel, meine Seele, S.494;12046
Liszt, Franz;La lugubre gondola;12047
Liszt, Franz;Il m'aimait tant;12048
Liszt, Franz;Die Macht der Musik;12049
Liszt, Franz;Magyar dalok;12050
Liszt, Franz;Malédiction;12051
Liszt, Franz;Marche et Cavatine de la Lucia de Lamermoor de Donizetti (4-hand Piano Arrangement) [from S398];12052
Liszt, Franz;Marche funèbre de Dom Sébastien de Donizetti;12053
Liszt, Franz;Mariengarten (Quasi cedrus);12054
Liszt, Franz;La Marseillaise;12055
Liszt, Franz;Mazurka brillante;12057
Liszt, Franz;Mephisto Polka;12060
Liszt, Franz;Mephisto Waltz No.1;12061
Liszt, Franz;Mephisto Waltz No.2 (4-hand Piano Arrangement);12062
Liszt, Franz;Mephisto Waltz No.2;12063
Liszt, Franz;Mephisto Waltz No.2;12064
Liszt, Franz;Mephisto Waltz No.3;12065
Liszt, Franz;Mignons Lied;12067
Liszt, Franz;Mihi autem adhaerere;12068
Liszt, Franz;Miserere du « Trovatore » de Verdi - Paraphrase du Concert;12069
Liszt, Franz;Missa choralis;12070
Liszt, Franz;Missa Solennis;12071
Liszt, Franz;Missa quattuor vocum ad aequales;12073
Liszt, Franz;Morgens steh ich auf und frage;12075
Liszt, Franz;Les Morts (Odes Funébres No.1), S.601;12076
Liszt, Franz;Mosonyis Grabgeleit;12077
Liszt, Franz;Müllerlieder von Franz Schubert;12079
Liszt, Franz;La Notte (Odes Funébres no.2), S.602;12080
Liszt, Franz;Nun danket alle Gott;12082
Liszt, Franz;O Roma nobilis;12083
Liszt, Franz;O heilige Nacht;12085
